iter	Accuracy	Logloss
0	0.8455907213	0.6336759376
1	0.8494273136	0.5833685791
2	0.8499642918	0.5401053731
3	0.8504018297	0.5061815136
4	0.8504994621	0.4765538511
5	0.8503909817	0.4527610085
6	0.8504416059	0.4330379208
7	0.852130285	0.4170778319
8	0.8517198673	0.4033601801
9	0.8520037245	0.3906915076
10	0.8519802204	0.3798911974
11	0.8520163805	0.3713886176
12	0.8518174997	0.3640065063
13	0.8518156917	0.3579106831
14	0.8522496135	0.3531397585
15	0.8525226227	0.3485424939
16	0.8528571041	0.3439212437
17	0.8534392826	0.3403473961
18	0.8539943409	0.3369416823
19	0.8541046294	0.3342672673
20	0.8544156067	0.3319353505
21	0.8545656714	0.32883147
22	0.8545819434	0.3266555523
23	0.8547934803	0.3245591552
24	0.8549977852	0.3221032767
25	0.8551568899	0.3205212655
26	0.855415435	0.3193433676
27	0.8560916298	0.3179708091
28	0.8561711822	0.316313899
29	0.8562615825	0.3146399549
30	0.8563989911	0.3135750904
31	0.8569413934	0.3125914557
32	0.8572324827	0.3115867279
33	0.8574801797	0.3107159368
34	0.8576013162	0.3097705061
35	0.8578399732	0.3090042883
36	0.8580713982	0.3083022043
37	0.8582142308	0.3073315467
38	0.8583624875	0.3066499907
39	0.8585234001	0.30614106
40	0.8585469042	0.3053763219
41	0.8586662327	0.3047227511
42	0.8587638652	0.3042998364
43	0.8588922337	0.3033563043
44	0.8591489708	0.302845124
45	0.8591471628	0.3023486763
46	0.8592755313	0.3015747879
47	0.8594093239	0.3008711331
48	0.8595069563	0.3002810331
49	0.8597817735	0.2998535043
50	0.8599354541	0.299438599
51	0.8601578391	0.2990417001
52	0.8603042877	0.2987451084
53	0.86038384	0.2982317295
54	0.8605791049	0.2979118886
55	0.8607201295	0.297337878
56	0.8607924498	0.2969184125
57	0.8609388984	0.2965815718
58	0.8610509949	0.2962026143
59	0.8612082915	0.2958667601
60	0.8614668366	0.2955895825
61	0.8616150932	0.2953263431
62	0.8616277493	0.2950270784
63	0.8617633499	0.2946800514
64	0.8619766948	0.2943408521
65	0.8621195274	0.2940232324
66	0.8623491444	0.2937960502
67	0.8624485848	0.2935935303
68	0.8626022654	0.2933800563
69	0.8626836258	0.2932278558
70	0.8627902982	0.2928304456
71	0.8628698506	0.292584075
72	0.8630922355	0.2922216227
73	0.8632477242	0.2919574566
74	0.8633417406	0.2917215684
75	0.8635984777	0.291343518
76	0.8637214222	0.2910933545
77	0.8638299026	0.2908526526
78	0.8639528472	0.2905869893
79	0.8641065278	0.2903714972
80	0.864388577	0.2900369374
81	0.8645006735	0.2897981036
82	0.8645621457	0.2895932394
83	0.8647917627	0.2893366677
84	0.8648460029	0.2892208471
85	0.8648875871	0.2890800812
86	0.8650322277	0.2888699989
87	0.8651678283	0.2886694598
88	0.8652256846	0.2885302782
89	0.8653594771	0.2884168551
90	0.8654842297	0.2881577951
91	0.8654679576	0.2879304496
92	0.86556559	0.287728787
93	0.8656324863	0.2876032952
94	0.8656704544	0.2875050515
95	0.8658223271	0.2873926214
96	0.8658512552	0.2871533127
97	0.8659850478	0.2869529405
98	0.8660790642	0.2867989073
99	0.8661333044	0.2866633411
