iter	Passed	Remaining
0	403	201551
1	604	150612
2	808	133922
3	1045	129681
4	1258	124609
5	1453	119665
6	1663	117176
7	1853	113964
8	2060	112418
9	2275	111504
10	2471	109851
11	2656	108042
12	2830	106033
13	3053	106007
14	3247	105003
15	3438	104028
16	3623	102962
17	3820	102309
18	4031	102051
19	4228	101492
20	4444	101376
21	4653	101111
22	4870	101016
23	5066	100476
24	5264	100030
25	5447	99317
26	5688	99660
27	5897	99421
28	6140	99722
29	6341	99345
30	6543	98995
31	6757	98822
32	6942	98241
33	7145	97930
34	7352	97685
35	7573	97608
36	7769	97224
37	7975	96960
38	8179	96685
39	8376	96333
40	8573	95976
41	8779	95743
42	8979	95435
43	9174	95076
44	9396	95013
45	9597	94725
46	9795	94411
47	9994	94110
48	10185	93746
49	10378	93408
50	10600	93326
51	10805	93094
52	11009	92851
53	11185	92386
54	11405	92284
55	11592	91910
56	11785	91596
57	11998	91438
58	12179	91034
59	12376	90764
60	12574	90496
61	12780	90290
62	12971	89978
63	13162	89669
64	13366	89452
65	13584	89330
66	13822	89329
67	14042	89210
68	14288	89249
69	14491	89020
70	14704	88848
71	14914	88661
72	15138	88549
73	15357	88409
74	15563	88191
75	15773	87999
76	15980	87790
77	16193	87611
78	16427	87541
79	16639	87357
80	16860	87215
81	17079	87061
82	17315	86995
83	17541	86872
84	17767	86749
85	17983	86569
86	18220	86493
87	18430	86288
88	18689	86308
89	18920	86193
90	19127	85969
91	19333	85737
92	19545	85535
93	19800	85519
94	20040	85435
95	20287	85378
96	20522	85264
97	20774	85217
98	21016	85126
99	21252	85008
100	21478	84850
101	21710	84715
102	21935	84546
103	22179	84450
104	22449	84454
105	22773	84647
106	23049	84659
107	23323	84655
108	23602	84665
109	23897	84726
110	24211	84849
111	24495	84860
112	24758	84791
113	25015	84700
114	25292	84674
115	25606	84765
116	25853	84629
117	26117	84550
118	26426	84608
119	26691	84522
120	26984	84521
121	27269	84491
122	27560	84472
123	27843	84429
124	28135	84405
125	28367	84202
126	28613	84036
127	28872	83912
128	29135	83793
129	29393	83658
130	29660	83547
131	29895	83345
132	30144	83180
133	30435	83130
134	30674	82935
135	30931	82786
136	31187	82634
137	31410	82396
138	31702	82335
139	32031	82367
140	32286	82205
141	32546	82053
142	32801	81889
143	33045	81694
144	33314	81562
145	33568	81391
146	33817	81208
147	34070	81033
148	34326	80864
149	34595	80723
150	34866	80585
151	35111	80387
152	35346	80164
153	35611	80009
154	35854	79804
155	36093	79591
156	36371	79462
157	36621	79269
158	36874	79082
159	37117	78875
160	37373	78693
161	37645	78544
162	37902	78363
163	38188	78240
164	38466	78099
165	38696	77860
166	38949	77666
167	39233	77533
168	39490	77345
169	39782	77223
170	40045	77047
171	40323	76895
172	40572	76689
173	40834	76505
174	41099	76326
175	41341	76106
176	41602	75917
177	41865	75733
178	42158	75602
179	42448	75463
180	42724	75298
181	42984	75104
182	43243	74908
183	43501	74709
184	43755	74502
185	44015	74306
186	44299	74148
187	44560	73951
188	44821	73753
189	45084	73559
190	45385	73425
191	45728	73356
192	46005	73180
193	46284	73004
194	46528	72775
195	46831	72636
196	47094	72434
197	47339	72204
198	47594	71989
199	47846	71770
200	48118	71579
201	48383	71378
202	48674	71213
203	48947	71021
204	49209	70813
205	49479	70616
206	49746	70414
207	49976	70159
208	50202	69898
209	50472	69700
210	50728	69480
211	51016	69305
212	51258	69066
213	51518	68852
214	51783	68643
215	52052	68439
216	52320	68234
217	52575	68010
218	52845	67806
219	53101	67583
220	53391	67403
221	53660	67196
222	53934	66994
223	54190	66770
224	54430	66526
225	54717	66338
226	55004	66151
227	55257	65921
228	55510	65690
229	55777	65478
230	56022	65238
231	56287	65022
232	56543	64794
233	56831	64603
234	57101	64390
235	57373	64180
236	57640	63964
237	57890	63727
238	58184	63540
239	58427	63296
240	58677	63059
241	58924	62820
242	59202	62613
243	59448	62371
244	59691	62128
245	59934	61883
246	60235	61698
247	60504	61480
248	60797	61285
249	61045	61045
250	61301	60812
251	61567	60590
252	61816	60350
253	62057	60102
254	62333	59888
255	62573	59640
256	62839	59416
257	63103	59190
258	63392	58986
259	63645	58749
260	63883	58499
261	64148	58272
262	64448	58077
263	64711	57848
264	64961	57607
265	65225	57378
266	65476	57138
267	65745	56914
268	65991	56669
269	66251	56436
270	66531	56220
271	66790	55986
272	67061	55761
273	67326	55532
274	67606	55314
275	67852	55068
276	68118	54839
277	68378	54604
278	68659	54386
279	68916	54148
280	69160	53900
281	69456	53693
282	69737	53473
283	69987	53229
284	70259	53002
285	70540	52782
286	70778	52528
287	71053	52303
288	71306	52061
289	71575	51830
290	71836	51593
291	72158	51400
292	72421	51164
293	72692	50934
294	72959	50700
295	73247	50481
296	73503	50239
297	73776	50009
298	74060	49786
299	74336	49557
300	74604	49323
301	74881	49094
302	75137	48851
303	75404	48616
304	75695	48395
305	75946	48149
306	76232	47924
