iter	Logloss
0	0.6677236871
1	0.6461436513
2	0.6237591754
3	0.6103698395
4	0.596712343
5	0.5818110036
6	0.5682624565
7	0.5577384194
8	0.5480350033
9	0.5394842965
10	0.5300427112
11	0.5240149865
12	0.518564371
13	0.5136648744
14	0.5072249109
15	0.5023550096
16	0.4987109258
17	0.4939355536
18	0.4895679767
19	0.485704946
20	0.4816244775
21	0.4768453326
22	0.4730821127
23	0.4705891033
24	0.4670951759
25	0.46373841
26	0.4615732549
27	0.4590024843
28	0.4570114639
29	0.4541111621
30	0.4514416705
31	0.4494978098
32	0.4475552905
33	0.44588395
34	0.4444289993
35	0.4427237458
36	0.4410498902
37	0.4402404617
38	0.4395059439
39	0.4385879433
40	0.4375656463
41	0.4369268732
42	0.4353418874
43	0.4341016916
44	0.4329598395
45	0.4322976752
46	0.4311698243
47	0.4301599356
48	0.4288766044
49	0.4276327196
50	0.4265970083
51	0.4261835119
52	0.4251442375
53	0.4244166364
54	0.4233492757
55	0.4225980319
56	0.4218043233
57	0.4208524096
58	0.4202049591
59	0.4193658095
60	0.4188565265
61	0.4181691683
62	0.4176019522
63	0.4171417572
64	0.4165676243
65	0.4159927368
66	0.4158262316
67	0.4152449723
68	0.4143948398
69	0.4139045045
70	0.4133632786
71	0.412821382
72	0.4123244233
73	0.412008558
74	0.411559346
75	0.4112259582
76	0.4108292297
77	0.4103869763
78	0.4096388764
79	0.4093228854
80	0.4090576591
81	0.4087791862
82	0.4076237941
83	0.4073185344
84	0.4067637265
85	0.4064601018
86	0.4061605433
87	0.4058911669
88	0.4054952768
89	0.4051890111
90	0.4048509283
91	0.4046021765
92	0.4042962462
93	0.4041446644
94	0.4036536584
95	0.4031072763
96	0.4029063969
97	0.4024595323
98	0.402181269
99	0.4018853995
100	0.4016022735
101	0.4013070327
102	0.40105979
103	0.4005837912
104	0.4003606943
105	0.3999722659
106	0.399076357
107	0.3988743457
108	0.3986294086
109	0.3984271877
110	0.397975209
111	0.3978023319
112	0.3976072374
113	0.397351527
114	0.3970834921
115	0.3967023996
116	0.396413866
117	0.3957003499
118	0.3954217932
119	0.3951380803
120	0.3949827676
121	0.3946829995
122	0.3945211473
123	0.3942832108
124	0.3940610781
125	0.3936011346
126	0.3933505802
127	0.3927074055
128	0.3921987093
129	0.3919144934
130	0.3917434189
131	0.3915081653
132	0.3909744011
133	0.3903735653
134	0.3901792673
135	0.3900079413
136	0.3897772569
137	0.3895982176
138	0.3893988473
139	0.3892982399
140	0.3889104403
141	0.3886748094
142	0.3884260995
143	0.3882255973
144	0.3879568079
145	0.3877760499
146	0.3875428923
147	0.3872933021
148	0.3870580065
149	0.3868069492
150	0.3865629762
151	0.3862943544
152	0.3861151894
153	0.3858237214
154	0.3855577825
155	0.3854618282
156	0.3850801908
157	0.3849023672
158	0.3847904415
159	0.3846461118
160	0.384382227
161	0.3842414604
162	0.3841006101
163	0.3835997948
164	0.3833197709
165	0.3831281557
166	0.3827188094
167	0.382590493
168	0.3822631836
169	0.3818877922
170	0.3816957998
171	0.3813932649
172	0.3812703562
173	0.3810444088
174	0.3807237227
175	0.380529257
176	0.3801775922
177	0.3798216097
178	0.3796019083
179	0.3793322385
180	0.379153325
181	0.378868103
182	0.3786839076
183	0.3781854818
184	0.3778651311
185	0.37755438
186	0.3773614234
187	0.3770250174
188	0.376780751
189	0.3766111856
190	0.376368093
191	0.3761036632
192	0.3759902283
193	0.3756991376
194	0.3752630884
195	0.3751131833
196	0.3748851818
197	0.3745306246
198	0.3742308564
199	0.3739723792
200	0.3738056225
201	0.3737053504
202	0.3734525324
203	0.3730231065
204	0.3726901379
205	0.3721690754
206	0.3718483474
207	0.3716292329
208	0.3712394631
209	0.3709053207
210	0.3707618713
211	0.3705784305
212	0.3702713683
213	0.370014568
214	0.3696527167
215	0.3694606823
216	0.3692149068
217	0.3689912649
218	0.3687355545
219	0.3684760293
220	0.368076031
221	0.3678142003
222	0.3676155426
223	0.3671891349
224	0.3670795147
225	0.3667949635
226	0.3665022798
227	0.3662035177
228	0.3659602574
229	0.3657743014
230	0.3654889956
231	0.3652483762
232	0.36483161
233	0.3645900265
234	0.3643021636
235	0.3641878065
236	0.363953014
237	0.363810948
238	0.3635338584
239	0.3632170709
240	0.3629586775
241	0.3626197563
242	0.3619836661
243	0.3617992192
244	0.3616400079
245	0.361484318
246	0.3612996615
247	0.3609577221
248	0.3608573243
249	0.3604820587
250	0.3602296179
251	0.3598857083
252	0.3595898806
253	0.3593029819
254	0.35905008
255	0.358802502
256	0.3586568308
257	0.3585108663
258	0.3583289346
259	0.3580990886
260	0.3578969096
261	0.3577089414
262	0.3573418502
263	0.3568145417
264	0.3565637777
265	0.3564170586
266	0.3562274136
267	0.3560230549
268	0.3558408297
269	0.355588892
270	0.3552851415
271	0.3550495106
272	0.3548172332
273	0.3546855214
274	0.3545543964
275	0.3544103601
276	0.3541831551
277	0.3539406493
278	0.3537254333
279	0.35343363
280	0.3530297751
281	0.3527736454
282	0.3525674841
283	0.352368533
284	0.35221234
285	0.3519727686
286	0.3517461923
287	0.3515461513
288	0.3513082777
289	0.3511261154
290	0.3508295751
291	0.35064211
292	0.3503221784
293	0.35022788
294	0.3500008426
295	0.3496976999
296	0.3496125609
297	0.3494476486
298	0.3493120801
299	0.3491136111
300	0.3488403362
301	0.3485815866
302	0.3482573583
303	0.3480611948
304	0.3478357504
305	0.3476650741
306	0.3474615956
307	0.3472604228
308	0.3470618908
309	0.3468629606
310	0.3466767112
311	0.3465085711
312	0.346300188
313	0.3461075458
314	0.3458841345
315	0.3457490271
316	0.3455431592
317	0.3452308571
318	0.3448800726
319	0.3445991684
320	0.344379949
321	0.3442856925
322	0.3439872658
323	0.343675844
324	0.3435397725
325	0.3433374258
326	0.3431782146
327	0.3431003068
328	0.3428861178
329	0.3426282694
330	0.3424416846
331	0.3422290676
332	0.3420693534
333	0.3418985933
334	0.3416271839
335	0.3415483328
336	0.3414166209
337	0.3411451067
338	0.3408906538
339	0.3406850794
340	0.3404851012
341	0.3402512519
342	0.3400318439
343	0.3398969881
344	0.339741885
345	0.3393931546
346	0.3389548836
347	0.3387747545
348	0.3384918381
349	0.3383310339
350	0.3380876059
351	0.3379456237
352	0.3376495445
353	0.3374195308
354	0.3372762911
355	0.3370869605
356	0.3369327587
357	0.336836469
358	0.3366920345
359	0.3365858728
360	0.3363612877
361	0.3361762539
362	0.3360155546
363	0.3358510196
364	0.3356545836
365	0.3354212583
366	0.3352815607
367	0.3351704105
368	0.3350314465
369	0.3349312583
370	0.3347935939
371	0.3346009936
372	0.3343822982
373	0.3341908717
374	0.3340075147
375	0.3336461665
376	0.3333594773
377	0.3332192138
378	0.3329691206
379	0.332654974
380	0.3323159061
381	0.3320752238
382	0.3319520846
383	0.3317473275
384	0.3315688752
385	0.331351647
386	0.3311436412
387	0.3310241699
388	0.3308595511
389	0.3306340857
390	0.3304495759
391	0.3303138188
392	0.3302169003
393	0.3300346961
394	0.3298836174
395	0.329699422
396	0.3295403784
397	0.3293842483
398	0.3293017293
399	0.3291526627
400	0.3290371318
401	0.3289507772
402	0.3287928445
403	0.3287252489
404	0.3284853841
405	0.3284279121
406	0.3283205137
407	0.3280582638
408	0.3277643853
409	0.327613579
410	0.3275097019
411	0.3274319408
412	0.3272637587
413	0.3269826868
414	0.3268854539
415	0.3268265777
416	0.3267452114
417	0.3266261384
418	0.3263817462
419	0.326136369
420	0.3257761106
421	0.325586801
422	0.3254850828
423	0.325143835
424	0.3249291221
425	0.3247680664
426	0.3246214311
427	0.3243797638
428	0.3242164025
429	0.3241268409
430	0.3240063845
431	0.3238260039
432	0.3236947322
433	0.3235866211
434	0.3234950684
435	0.3234014197
436	0.323296264
437	0.3231512216
438	0.322908129
439	0.3227962452
440	0.3225927248
441	0.3223166413
442	0.3219220298
443	0.3218205211
444	0.3216456738
445	0.3214238555
446	0.3212184906
447	0.321103861
448	0.3207975953
449	0.320634779
450	0.3204075321
451	0.3202131292
452	0.3199328119
453	0.319748889
454	0.3196070325
455	0.3195065928
456	0.3193873311
457	0.319191482
458	0.3190756159
459	0.3189260043
460	0.3186553913
461	0.3184568175
462	0.3182886983
463	0.3182160933
464	0.3179102887
465	0.3178011297
466	0.3175803803
467	0.3174788506
468	0.3172609518
469	0.3171051361
470	0.3169519613
471	0.3168615823
472	0.3166234991
473	0.3164427621
474	0.3160966098
475	0.3159492199
476	0.3158309853
477	0.3156837421
478	0.3154980167
479	0.315196467
480	0.3151098188
481	0.3149337559
482	0.3147662236
483	0.3145928016
484	0.3144649883
485	0.3141660586
486	0.3139842945
487	0.3137877328
488	0.3136610094
489	0.3134565458
490	0.3133370536
491	0.3132040422
492	0.3130259042
493	0.3129512242
494	0.3126856835
495	0.3125029553
496	0.3122748909
497	0.3120996664
498	0.3120476649
499	0.3118538699
