iter	Passed	Remaining
0	4	2162
1	7	1973
2	11	1968
3	16	2030
4	20	2047
5	25	2075
6	29	2083
7	33	2075
8	38	2075
9	42	2080
10	46	2063
11	51	2081
12	55	2079
13	59	2069
14	64	2086
15	69	2102
16	73	2080
17	77	2074
18	81	2058
19	85	2048
20	89	2034
21	92	2016
22	96	2001
23	100	1986
24	103	1971
25	107	1953
26	111	1949
27	114	1938
28	118	1926
29	122	1915
30	125	1905
31	129	1892
32	133	1888
33	137	1878
34	140	1865
35	144	1866
36	148	1860
37	153	1861
38	156	1854
39	160	1849
40	165	1850
41	169	1853
42	175	1863
43	180	1869
44	185	1872
45	188	1862
46	192	1853
47	197	1855
48	202	1863
49	207	1865
50	211	1862
51	216	1862
52	220	1861
53	224	1852
54	228	1847
55	232	1839
56	235	1829
57	238	1820
58	243	1818
59	247	1817
60	252	1818
61	256	1810
62	260	1805
63	264	1804
64	269	1805
65	273	1799
66	276	1788
67	282	1793
68	286	1789
69	290	1786
70	295	1785
71	300	1785
72	303	1778
73	308	1774
74	313	1774
75	317	1770
76	321	1764
77	325	1760
78	330	1763
79	335	1759
80	339	1758
81	344	1754
82	349	1757
83	354	1753
84	358	1749
85	364	1752
86	367	1745
87	371	1741
88	376	1740
89	380	1735
90	384	1727
91	388	1722
92	393	1723
93	398	1721
94	402	1717
95	407	1716
96	413	1717
97	417	1713
98	421	1708
99	427	1709
100	431	1704
101	436	1701
102	441	1702
103	446	1698
104	450	1695
105	457	1701
106	462	1696
107	465	1691
108	470	1688
109	475	1687
110	480	1682
111	484	1679
112	488	1673
113	492	1667
114	496	1662
115	501	1660
116	507	1659
117	510	1653
118	516	1654
119	520	1649
120	527	1650
121	531	1646
122	535	1640
123	540	1638
124	544	1633
125	548	1628
126	552	1621
127	555	1615
128	559	1608
129	563	1604
130	568	1602
131	572	1597
132	576	1590
133	580	1586
134	585	1581
135	590	1579
136	594	1574
137	598	1568
138	603	1567
139	607	1561
140	611	1556
141	615	1552
142	620	1549
143	624	1543
144	628	1538
145	634	1537
146	638	1532
147	642	1528
148	647	1526
149	651	1520
150	656	1516
151	661	1513
152	665	1510
153	669	1503
154	673	1499
155	679	1497
156	682	1492
157	686	1486
158	690	1481
159	695	1478
160	699	1473
161	703	1468
162	708	1464
163	713	1462
164	717	1457
165	722	1453
166	728	1451
167	731	1446
168	735	1441
169	739	1436
170	745	1434
171	748	1428
172	753	1423
173	758	1420
174	762	1415
175	766	1410
176	770	1405
177	775	1403
178	779	1397
179	783	1392
180	787	1388
181	792	1385
182	796	1379
183	801	1375
184	805	1372
185	809	1367
186	813	1362
187	818	1358
188	823	1354
189	827	1349
190	831	1344
191	835	1339
192	840	1336
193	843	1331
194	847	1326
195	852	1321
196	858	1320
197	862	1315
198	867	1312
199	872	1309
200	876	1303
201	880	1298
202	884	1293
203	890	1292
204	894	1287
205	899	1283
206	904	1279
207	907	1274
208	911	1269
209	916	1265
210	920	1261
211	924	1255
212	928	1251
213	934	1249
214	938	1244
215	942	1239
216	946	1234
217	952	1231
218	955	1226
219	959	1221
220	964	1218
221	969	1213
222	972	1208
223	977	1204
224	982	1200
225	986	1195
226	990	1190
227	994	1186
228	999	1182
229	1003	1177
230	1007	1172
231	1011	1168
232	1016	1164
233	1020	1159
234	1024	1155
235	1028	1150
236	1033	1146
237	1036	1141
238	1041	1136
239	1046	1133
240	1050	1128
241	1054	1124
242	1059	1120
243	1064	1116
244	1067	1111
245	1071	1106
246	1076	1102
247	1080	1098
248	1084	1093
249	1089	1089
250	1094	1085
251	1098	1081
252	1102	1076
253	1108	1073
254	1113	1070
255	1117	1065
256	1121	1060
257	1124	1055
258	1128	1049
259	1131	1044
260	1136	1040
261	1142	1037
262	1146	1033
263	1150	1028
264	1156	1025
265	1162	1022
266	1165	1017
267	1169	1012
268	1173	1007
269	1178	1003
270	1183	999
271	1188	995
272	1191	990
273	1195	985
274	1199	981
275	1203	976
276	1209	973
277	1213	969
278	1218	964
279	1222	960
280	1226	955
281	1230	951
282	1235	947
283	1240	943
284	1244	939
285	1249	935
286	1255	931
287	1260	927
288	1266	924
289	1270	919
290	1274	915
291	1278	910
292	1283	906
293	1289	903
294	1294	899
295	1299	895
296	1304	891
297	1308	886
298	1312	882
299	1317	878
300	1322	874
301	1327	870
302	1331	865
303	1338	862
304	1342	858
305	1347	854
306	1352	850
307	1356	845
308	1361	841
309	1366	837
310	1370	832
311	1375	828
312	1380	824
313	1385	820
314	1389	816
315	1394	811
316	1400	808
317	1404	803
318	1408	799
319	1414	795
320	1419	791
321	1423	787
322	1428	782
323	1434	779
324	1438	774
325	1443	770
326	1448	766
327	1452	761
328	1457	757
329	1465	754
330	1469	750
331	1474	746
332	1481	742
333	1485	738
334	1490	734
335	1496	730
336	1502	726
337	1507	722
338	1513	718
339	1518	714
340	1523	710
341	1529	706
342	1534	702
343	1539	698
344	1545	694
345	1550	690
346	1558	686
347	1562	682
348	1567	678
349	1572	674
350	1578	669
351	1582	665
352	1587	661
353	1594	657
354	1600	653
355	1605	649
356	1609	644
357	1614	640
358	1618	635
359	1623	631
360	1627	626
361	1631	621
362	1635	617
363	1640	612
364	1644	608
365	1648	603
366	1654	599
367	1657	594
368	1661	589
369	1665	585
370	1670	580
371	1674	576
372	1678	571
373	1682	566
374	1688	562
375	1692	558
376	1696	553
377	1702	549
378	1706	544
379	1710	540
380	1716	535
381	1721	531
382	1725	527
383	1730	522
384	1735	518
385	1739	513
386	1743	509
387	1747	504
388	1752	500
389	1756	495
390	1760	490
391	1763	485
392	1767	481
393	1771	476
394	1775	471
395	1780	467
396	1784	463
397	1788	458
398	1793	453
399	1799	449
400	1802	445
401	1806	440
402	1810	435
403	1813	431
404	1817	426
405	1821	421
406	1825	417
407	1830	412
408	1834	408
409	1838	403
410	1842	398
411	1845	394
412	1849	389
413	1854	385
414	1857	380
415	1863	376
416	1867	371
417	1871	367
418	1874	362
419	1878	357
420	1881	353
421	1885	348
422	1889	343
423	1893	339
424	1896	334
425	1900	330
426	1904	325
427	1908	321
428	1912	316
429	1916	311
430	1920	307
431	1926	303
432	1930	298
433	1934	294
434	1938	289
435	1941	285
436	1945	280
437	1949	275
438	1953	271
439	1957	266
440	1961	262
441	1964	257
442	1968	253
443	1972	248
444	1975	244
445	1979	239
446	1984	235
447	1987	230
448	1991	226
449	1995	221
450	1999	217
451	2002	212
452	2006	208
453	2010	203
454	2014	199
455	2017	194
456	2021	190
457	2024	185
458	2028	181
459	2032	176
460	2036	172
461	2039	167
462	2044	163
463	2047	158
464	2051	154
465	2055	149
466	2059	145
467	2063	141
468	2067	136
469	2071	132
470	2075	127
471	2078	123
472	2081	118
473	2085	114
474	2089	109
475	2092	105
476	2096	101
477	2099	96
478	2103	92
479	2107	87
480	2111	83
481	2115	78
482	2118	74
483	2122	70
484	2125	65
485	2129	61
486	2133	56
487	2136	52
488	2140	48
489	2145	43
490	2149	39
491	2153	35
492	2157	30
493	2161	26
494	2165	21
495	2169	17
496	2172	13
497	2176	8
498	2180	4
499	2185	0
